제목,작성일,본문내용,링크,사진
2025학년도 외국인 유학생 맞춤형 상담 프로그램(글로벌 마인드 케어) 안내,2025.05.29,"구 분 | 집단 미술심리 상담
방 식 | 대면 집단 활동(2회)
인 원 | 회차당20명
운영시기 | 6. 12. / 9. 18.
언 어 | 한국어,영어
내 용 | 미술 활동+감정 표현+자기 성찰 워크숍
구분 | 1단계 | ⇨ | 2단계 | ⇨ | 3단계
내용 | 간이 심리검사를 통한전수 조사 실시 | 예비 고위험군 대상개별 유선 심리 면접 및고위험군 유학생 선발 | 고위험군 유학생 대상심층 개인 상담 실시
상담시기 | 7월~ 8월 | 9월 | 10월~ 12월
인원 | 80명 | 33명 | 11명
제공 언어 | 한국어,영어,중국어 | 한국어,영어,중국어 | 한국어,영어,중국어,일어
외국인 유학생의 학업 중단 및 사회적 고립을 예방하기 위해 다음과 같이 글로벌 마인드케어 프로그램을 운영할 예정이니
,
많은 학생들이 참여할 수 있도록 적극 협조하여
주시기 바랍니다
.
가
.
프로그램 개요
1)
과 정 명
:
2025
학년도 외국인 유학생 맞춤형 상담 프로그램
(
글로벌 마인드 케어
)
2)
참가대상
:
강원대학교 외국인 학위 과정생
3)
모집인원
: 80
명
4)
운영기간
: 2025. 6. ~ 2025. 12.
5)
신청기간
(
중복지원 가능
)
가
)
집단 미술 심리 상담
: 2025. 5. 27.(
화
) ~ 2025. 6. 15.(
일
)
나
) 1:1
심층 상담
: 2025. 5. 27.(
화
) ~ 2025. 6. 30.(
월
)
6)
신청방법
: https://forms.gle/QpaRjN6oFxgRtU7R6
나
.
프로그램 내용
1)
집단 미술 심리 상담
2)
단계별 개별 심층 상담
다
.
협조 요청 사항
-
학내 게시판 게시 및 학과 카카오톡방 홍보
-
학과 소속 외국인 유학생 중 정서적 어려움이 있거나 상담이 도움이 될 것으로 판단되는 학생이 있는 경우
, 6
월
20
일
(
목
)
까지 메일
(intn1947@kangwon.ac.kr)
로 추천
외국인 유학생의 학업 중단 및 사회적 고립을 예방하기 위해 다음과 같이 글로벌 마인드케어 프로그램을 운영할 예정이니
,
많은 학생들이 참여할 수 있도록 적극 협조하여
주시기 바랍니다
.
외국인 유학생의 학업 중단 및 사회적 고립을 예방하기 위해 다음과 같이 글로벌 마인드케어 프로그램을 운영할 예정이니
,
많은 학생들이 참여할 수 있도록 적극 협조하여
주시기 바랍니다
.
가
.
프로그램 개요
가
프로그램 개요
1)
과 정 명
:
2025
학년도 외국인 유학생 맞춤형 상담 프로그램
(
글로벌 마인드 케어
)
1)
과 정 명
:
2025
학년도 외국인 유학생 맞춤형 상담 프로그램
(
글로벌 마인드 케어
)
2)
참가대상
:
강원대학교 외국인 학위 과정생
2)
참가대상
강원대학교 외국인 학위 과정생
3)
모집인원
: 80
명
3)
모집인원
: 80
명
4)
운영기간
: 2025. 6. ~ 2025. 12.
4)
운영기간
: 2025. 6. ~ 2025. 12.
5)
신청기간
(
중복지원 가능
)
5)
신청기간
중복지원 가능
가
)
집단 미술 심리 상담
: 2025. 5. 27.(
화
) ~ 2025. 6. 15.(
일
)
집단 미술 심리 상담
: 2025. 5. 27.(
화
) ~ 2025. 6. 15.(
일
나
) 1:1
심층 상담
: 2025. 5. 27.(
화
) ~ 2025. 6. 30.(
월
)
나
) 1:1
심층 상담
) ~ 2025. 6. 30.(
월
6)
신청방법
: https://forms.gle/QpaRjN6oFxgRtU7R6
6)
신청방법
: https://forms.gle/QpaRjN6oFxgRtU7R6
나
.
프로그램 내용
프로그램 내용
1)
집단 미술 심리 상담
2)
단계별 개별 심층 상담
단계별 개별 심층 상담
다
.
협조 요청 사항
다
협조 요청 사항
-
학내 게시판 게시 및 학과 카카오톡방 홍보
-
학내 게시판 게시 및 학과 카카오톡방 홍보
-
학과 소속 외국인 유학생 중 정서적 어려움이 있거나 상담이 도움이 될 것으로 판단되는 학생이 있는 경우
, 6
월
20
일
(
목
)
까지 메일
(intn1947@kangwon.ac.kr)
로 추천
학과 소속 외국인 유학생 중 정서적 어려움이 있거나 상담이 도움이 될 것으로 판단되는 학생이 있는 경우
, 6
20
목
까지 메일
(intn1947@kangwon.ac.kr)
로 추천",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=527444&article.offset=90&articleLimit=10,https://kchatsotrage.blob.core.windows.net/images/college_depts/%EA%B2%BD%EC%98%81%ED%95%99%EC%A0%84%EA%B3%B5/%EA%B2%BD%EC%98%81%ED%95%99%EC%A0%84%EA%B3%B5_2025%ED%95%99%EB%85%84%EB%8F%84%EC%99%B8%EA%B5%AD%EC%9D%B8%EC%9C%A0%ED%95%99%EC%83%9D%EB%A7%9E%EC%B6%A4%ED%98%95%EC%83%81%EB%8B%B4%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8%EC%95%88%EB%82%B4_20250529_0.jpg;https://kchatsotrage.blob.core.windows.net/images/college_depts/%EA%B2%BD%EC%98%81%ED%95%99%EC%A0%84%EA%B3%B5/%EA%B2%BD%EC%98%81%ED%95%99%EC%A0%84%EA%B3%B5_2025%ED%95%99%EB%85%84%EB%8F%84%EC%99%B8%EA%B5%AD%EC%9D%B8%EC%9C%A0%ED%95%99%EC%83%9D%EB%A7%9E%EC%B6%A4%ED%98%95%EC%83%81%EB%8B%B4%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8%EC%95%88%EB%82%B4_20250529_1.jpg
춘천시의회 임기제 공무원 채용 계획,2025.05.28,자세한 내용은 첨부파일 확인 바랍니다.,https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=527326&article.offset=90&articleLimit=10,
학술대회 개최 안내 - 특강주제 : 스펙을 이기는 취업 성공 전략,2025.05.27,"학술대회 개최 안내 - 특강주제 : 스펙을 이기는 취업 성공 전략
1. 일시 : 5월 30일(금), 오전 11시~11시 50분
2. 장소 : 글로벌경영관 201호(컨퍼런스 홀)
3. 강연자 : (주) 잡매치 김성욱 대표
4. 내용 : 스펙을 이기는 취업 성공 전략 특강
학생들의 많은 참여 바랍니다~!
학술대회 개최 안내 - 특강주제 : 스펙을 이기는 취업 성공 전략
1. 일시 : 5월 30일(금), 오전 11시~11시 50분
2. 장소 : 글로벌경영관 201호(컨퍼런스 홀)
3. 강연자 : (주) 잡매치 김성욱 대표
4. 내용 : 스펙을 이기는 취업 성공 전략 특강
학생들의 많은 참여 바랍니다~!",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=527318&article.offset=90&articleLimit=10,https://kchatsotrage.blob.core.windows.net/images/college_depts/%EA%B2%BD%EC%98%81%ED%95%99%EC%A0%84%EA%B3%B5/%EA%B2%BD%EC%98%81%ED%95%99%EC%A0%84%EA%B3%B5_%ED%95%99%EC%88%A0%EB%8C%80%ED%9A%8C%EA%B0%9C%EC%B5%9C%EC%95%88%EB%82%B4%ED%8A%B9%EA%B0%95%EC%A3%BC%EC%A0%9C%EC%8A%A4%ED%8E%99%EC%9D%84%EC%9D%B4%EA%B8%B0%EB%8A%94%EC%B7%A8%EC%97%85%EC%84%B1%EA%B3%B5%EC%A0%84%EB%9E%B5_20250527_0.png;https://kchatsotrage.blob.core.windows.net/images/college_depts/%EA%B2%BD%EC%98%81%ED%95%99%EC%A0%84%EA%B3%B5/%EA%B2%BD%EC%98%81%ED%95%99%EC%A0%84%EA%B3%B5_%ED%95%99%EC%88%A0%EB%8C%80%ED%9A%8C%EA%B0%9C%EC%B5%9C%EC%95%88%EB%82%B4%ED%8A%B9%EA%B0%95%EC%A3%BC%EC%A0%9C%EC%8A%A4%ED%8E%99%EC%9D%84%EC%9D%B4%EA%B8%B0%EB%8A%94%EC%B7%A8%EC%97%85%EC%84%B1%EA%B3%B5%EC%A0%84%EB%9E%B5_20250527_1.png
2025년도 제2회 춘천시의회 임기제공무원 채용 공고,2025.05.27,"[2025년도 제2회 춘천시의회 임기제공무원 채용 공고]
2025년도 제2회 춘천시의회 임기제공무원 채용 계획을 다음과 같이 공고하오니 많은 응시 바랍니다.
1. 원서 접수 기간 : 6.2~6.5(목)까지
2. 담당 직무 : 연구, 조사, 회계, 조례(자치법규) 등의 정책지원관
3. 근무처 : 춘천시의회
4. 선발분야 : 정책지원관(지방행정서기, 일반임기제)
5. 근무조건 및 보수 : 첨부파일 문서를 확인 바랍니다.
많은 관심 바랍니다~!
[2025년도 제2회 춘천시의회 임기제공무원 채용 공고]
2025년도 제2회 춘천시의회 임기제공무원 채용 계획을 다음과 같이 공고하오니 많은 응시 바랍니다.
1. 원서 접수 기간 : 6.2~6.5(목)까지
2. 담당 직무 : 연구, 조사, 회계, 조례(자치법규) 등의 정책지원관
3. 근무처 : 춘천시의회
4. 선발분야 : 정책지원관(지방행정서기, 일반임기제)
5. 근무조건 및 보수 : 첨부파일 문서를 확인 바랍니다.
많은 관심 바랍니다~!",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=527298&article.offset=100&articleLimit=10,
2025학년도 2학기 국가근로장학생 장애학생도우미 신청 안내,2025.05.27,"2025
학년도
2
학기 장애대학생에 대한 지원 확대 및 안정적 학업여건 조성을 위해
국가근로장학생 장애학생도우미를 모집하고자 하오니
,
장애학생도우미를 신청할 수 있도록 안내하여 주시기 바랍니다
.
가
.
내 용
:
국가근로장학생 장애학생도우미 신청
나
.
신청대상
:
2025
학년도
2
학기 재학생
(
학부생
)
다
.
신청기간
:
2025. 5. 26.(
월
) 09:00~2025. 6. 19.(
목
) 18:00
라
.
근로기간
: 2025
학년도
2
학기
마
.
근로내용
:
장애대학생 이동지원
,
강의
․
보고서
․
시험대필 등 학습지원
,
의사소통 지원 활동 등
바
.
장 학 금
:
국가근로장학금
(
시간당
10,030
원
),
월 최대
40
시간 가능
사
.
자격요건
:
직전학기 성적
2.0
이상
, 12
학점 이상 수강 학생
아
.
신청방법
:
도우미 요청서
(
붙임
1)
및 장애학생도우미 신청서
(
붙임
2)
작성 후 담당자
이메일
(knu@kangwon.ac.kr)
제출
자
.
지원대상
1)
중증 장애대학생
(
우선 지원
,
도우미 최대
2
명 배정 가능
)
2)
경증 장애대학생
(
심의 후 선발 가능
,
도우미
1
명 배정 가능
)
문 의
:
장애학생지원센터 이상열
(
내선
: 7469)
2025
학년도
2
학기 장애대학생에 대한 지원 확대 및 안정적 학업여건 조성을 위해
국가근로장학생 장애학생도우미를 모집하고자 하오니
,
장애학생도우미를 신청할 수 있도록 안내하여 주시기 바랍니다
.
2025
학년도
2
학기 장애대학생에 대한 지원 확대 및 안정적 학업여건 조성을 위해
국가근로장학생 장애학생도우미를 모집하고자 하오니
,
장애학생도우미를 신청할 수 있도록 안내하여 주시기 바랍니다
.
가
.
내 용
:
국가근로장학생 장애학생도우미 신청
가
내 용
:
국가근로장학생 장애학생도우미 신청
나
.
신청대상
:
2025
학년도
2
학기 재학생
(
학부생
)
나
신청대상
학기 재학생
(
학부생
)
다
.
신청기간
:
2025. 5. 26.(
월
) 09:00~2025. 6. 19.(
목
) 18:00
다
신청기간
2025. 5. 26.(
월
) 09:00~2025. 6. 19.(
목
) 18:00
라
.
근로기간
: 2025
학년도
2
학기
라
근로기간
: 2025
학기
마
.
근로내용
:
장애대학생 이동지원
,
강의
․
보고서
․
시험대필 등 학습지원
,
의사소통 지원 활동 등
마
근로내용
장애대학생 이동지원
강의
․
보고서
시험대필 등 학습지원
의사소통 지원 활동 등
바
.
장 학 금
:
국가근로장학금
(
시간당
10,030
원
),
월 최대
40
시간 가능
바
장 학 금
국가근로장학금
시간당
10,030
원
),
월 최대
40
시간 가능
사
.
자격요건
:
직전학기 성적
2.0
이상
, 12
학점 이상 수강 학생
사
자격요건
직전학기 성적
2.0
이상
, 12
학점 이상 수강 학생
아
.
신청방법
:
도우미 요청서
(
붙임
1)
및 장애학생도우미 신청서
(
붙임
2)
작성 후 담당자
이메일
(knu@kangwon.ac.kr)
제출
아
신청방법
도우미 요청서
붙임
1)
및 장애학생도우미 신청서
2)
작성 후 담당자
이메일
(knu@kangwon.ac.kr)
제출
자
.
지원대상
자
지원대상
1)
중증 장애대학생
(
우선 지원
,
도우미 최대
2
명 배정 가능
)
중증 장애대학생
우선 지원
도우미 최대
명 배정 가능
2)
경증 장애대학생
(
심의 후 선발 가능
,
도우미
1
명 배정 가능
)
경증 장애대학생
심의 후 선발 가능
도우미
1
문 의
:
장애학생지원센터 이상열
(
내선
: 7469)
문 의
장애학생지원센터 이상열
내선
: 7469)",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=527222&article.offset=100&articleLimit=10,
2025년도 여름학기 외국어 강좌 홍보 협조 요청,2025.05.27,"국제교류처 언어연수과에서 운영하는
2025
년도 여름학기 원어민 회화 강좌
(
영어
,
일본어
,
독일어
,
프랑스어
)
를 다음과 같이 안내하오니
,
우리 대학의 재학생 및 교직원들이
수준 높은 원어민 외국어 강좌에 많이 참여
할 수 있도록
적극 홍보
하여 주시기 바랍니다
.
1.
모집대상
:
강원대학교 재학생
,
교직원
,
지역 거주민
(
성인 대상
)
2.
모집기간
:
2025. 5. 28.(
수
) ~ 6. 18.(
수
),
선착순 마감
3.
강의기간
: 2025. 6. 23.(
월
) ~ 2025. 8. 14.(
목
)
강좌별 상이
4.
수 강 료
: [
붙임
]
참고
※
강원대학교 재학생 및 교직원 대상 수강료
10%
환급
(
환불자 및 맞춤형 강좌 신청자 제외
)
5.
접수방법
:
국제교류처 홈페이지
(https://lrl.kr/dDdEn)
에서 수강신청 및 강의계획서 열람
※
접속경로
:
국제교류처
→
Language Program
→
외국어 강좌
→
춘천캠퍼스
6.
기 타
:
외국어 강좌 수료 시
(
출석율
80%
이상
)
교육훈련실적 인정 가능
7.
문 의
:
국제교류처 언어연수과 사무실
(211
호
) /
☎
.033-250-7155
국제교류처 언어연수과에서 운영하는
2025
년도 여름학기 원어민 회화 강좌
(
영어
,
일본어
,
독일어
,
프랑스어
)
를 다음과 같이 안내하오니
,
우리 대학의 재학생 및 교직원들이
수준 높은 원어민 외국어 강좌에 많이 참여
할 수 있도록
적극 홍보
하여 주시기 바랍니다
.
국제교류처 언어연수과에서 운영하는
2025
년도 여름학기 원어민 회화 강좌
(
영어
,
일본어
독일어
프랑스어
)
를 다음과 같이 안내하오니
우리 대학의 재학생 및 교직원들이
수준 높은 원어민 외국어 강좌에 많이 참여
할 수 있도록
적극 홍보
하여 주시기 바랍니다
.
1.
모집대상
:
강원대학교 재학생
,
교직원
,
지역 거주민
(
성인 대상
)
1.
모집대상
:
강원대학교 재학생
교직원
지역 거주민
성인 대상
2.
모집기간
:
2025. 5. 28.(
수
) ~ 6. 18.(
수
),
선착순 마감
2.
모집기간
2025. 5. 28.(
수
) ~ 6. 18.(
),
선착순 마감
3.
강의기간
: 2025. 6. 23.(
월
) ~ 2025. 8. 14.(
목
)
강좌별 상이
3.
강의기간
: 2025. 6. 23.(
월
) ~ 2025. 8. 14.(
목
강좌별 상이
4.
수 강 료
: [
붙임
]
참고
4.
수 강 료
: [
붙임
]
참고
※
강원대학교 재학생 및 교직원 대상 수강료
10%
환급
(
환불자 및 맞춤형 강좌 신청자 제외
)
※
강원대학교 재학생 및 교직원 대상 수강료
10%
환급
환불자 및 맞춤형 강좌 신청자 제외
5.
접수방법
:
국제교류처 홈페이지
(https://lrl.kr/dDdEn)
에서 수강신청 및 강의계획서 열람
5.
접수방법
국제교류처 홈페이지
(https://lrl.kr/dDdEn)
에서 수강신청 및 강의계획서 열람
※
접속경로
:
국제교류처
→
Language Program
→
외국어 강좌
→
춘천캠퍼스
접속경로
국제교류처
→
Language Program
외국어 강좌
춘천캠퍼스
6.
기 타
:
외국어 강좌 수료 시
(
출석율
80%
이상
)
교육훈련실적 인정 가능
6.
기 타
외국어 강좌 수료 시
출석율
80%
이상
교육훈련실적 인정 가능
7.
문 의
:
국제교류처 언어연수과 사무실
(211
호
) /
☎
.033-250-7155
7.
문 의
국제교류처 언어연수과 사무실
(211
호
) /
☎
.033-250-7155",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=527221&article.offset=100&articleLimit=10,
2025학년도 일촌문화재단 신규장학생 선발 안내,2025.05.26,"일촌문화재단에서 2025학년도 신규 장학생을 선발하니 참고바랍니다.
1. 추천인원 : 1명
2. 지원자격
가. 재학중인 2, 3학년생으로 학자금지원구간 2분위 이하(2025.1학기 기준)인 학생
나. 현재 학기 12학점 이상 이수하여 직전학기 C학점(백분위 70점)이상인 학생
다. 1학기 현재 생활비성 장학금으로 100만원 이상 수혜받지 않은 학생
3. 장학금액 : 250만원(생활비)*2개 학기(▲1학기 1,000,000원, ▲2학기 1,500,000원)
4. 선발방법 : 일촌문화재단 내규지침에 의거 서류 심사 후 재단에서 최종 선발
※ 다문화가정 및 새터민가족의 경우 우선 선발 예정(약간명)
5 신청기간 :
2025. 5. 30.
(
금
),
09:00 ~ 17:00
6. 제출서류
- 장학생신청서, 추천서, 자기소개서
- 주민등록등본 및 가족관계증명서(본인 및 세대원 주민등록번호 앞자리까지 공개)
- 재학증명서, 성적증명서, 장학금수혜 확인서(K-Cloud 출력가능)
- 본인명의 통장사본, 학자금지원구간 통지서(2025-1학기 기준)
※ ▲다문화가정(혼인관계 및 기본증명서 추가 제출), ▲새터민가족(북한이탈주민 등록확인서 추가 제출)
7. 신청방법 : 학생과 사무실(나래관 2층) 방문 및 서류 제출
8. 행정사항 : 지원자가 많을 경우 ｢강원대학교 교외장학금 장학생 선발기준｣에 의거 선발
붙 임 장학금 신청서식 각 1부. 끝.
일촌문화재단에서 2025학년도 신규 장학생을 선발하니 참고바랍니다.
1. 추천인원 : 1명
2. 지원자격
가. 재학중인 2, 3학년생으로 학자금지원구간 2분위 이하(2025.1학기 기준)인 학생
나. 현재 학기 12학점 이상 이수하여 직전학기 C학점(백분위 70점)이상인 학생
다. 1학기 현재 생활비성 장학금으로 100만원 이상 수혜받지 않은 학생
3. 장학금액 : 250만원(생활비)*2개 학기(▲1학기 1,000,000원, ▲2학기 1,500,000원)
4. 선발방법 : 일촌문화재단 내규지침에 의거 서류 심사 후 재단에서 최종 선발
※ 다문화가정 및 새터민가족의 경우 우선 선발 예정(약간명)
5 신청기간 :
2025. 5. 30.
(
금
),
09:00 ~ 17:00
6. 제출서류
- 장학생신청서, 추천서, 자기소개서
- 주민등록등본 및 가족관계증명서(본인 및 세대원 주민등록번호 앞자리까지 공개)
- 재학증명서, 성적증명서, 장학금수혜 확인서(K-Cloud 출력가능)
- 본인명의 통장사본, 학자금지원구간 통지서(2025-1학기 기준)
※ ▲다문화가정(혼인관계 및 기본증명서 추가 제출), ▲새터민가족(북한이탈주민 등록확인서 추가 제출)
7. 신청방법 : 학생과 사무실(나래관 2층) 방문 및 서류 제출
8. 행정사항 : 지원자가 많을 경우 ｢강원대학교 교외장학금 장학생 선발기준｣에 의거 선발
붙 임 장학금 신청서식 각 1부. 끝.",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=527212&article.offset=100&articleLimit=10,
2025학년도 이천원의 저녁뷔페 추진 계획 알림,2025.05.26,"학업과 취업 준비 등으로 식사가 불규칙한 학생들에게 영양가 있는 저녁을 부담없는 가격에 제공하고자「2025학년도 이천원의 저녁뷔페」사업을 아래와 같이 추진합니다.
가. 사업 내용: 15,000원 상당의 저녁 뷔페를 재학생 250명에게 2,000원에 제공
나. 운영 일시 및 장소: 매월 마지막 주 목요일 17:30 ~ 19:00 / 제3학생식당(두리관)
※ 단, 6월 및 12월은 둘째 주 목요일 운영( 5.29. / 6.12. / 9.25. / 10.30. / 11.27. / 12.18.)
다. 대상: 춘천캠퍼스 재학생
라. 이용방법: 이용 전일 19:00부터 PAYCO를 통해 선착순 250명 사전예약
※ 천원의 아침밥 이용방법과 동일하며, 사전 예약학생은 PAYCO로 2,000원 결제
붙임 1. 홍보 포스터 1부.
2. 사전 예약 방법 가이드( PAYCO 이용방법) 1부. 끝.
학업과 취업 준비 등으로 식사가 불규칙한 학생들에게 영양가 있는 저녁을 부담없는 가격에 제공하고자「2025학년도 이천원의 저녁뷔페」사업을 아래와 같이 추진합니다.
가. 사업 내용: 15,000원 상당의 저녁 뷔페를 재학생 250명에게 2,000원에 제공
나. 운영 일시 및 장소: 매월 마지막 주 목요일 17:30 ~ 19:00 / 제3학생식당(두리관)
※ 단, 6월 및 12월은 둘째 주 목요일 운영( 5.29. / 6.12. / 9.25. / 10.30. / 11.27. / 12.18.)
다. 대상: 춘천캠퍼스 재학생
라. 이용방법: 이용 전일 19:00부터 PAYCO를 통해 선착순 250명 사전예약
※ 천원의 아침밥 이용방법과 동일하며, 사전 예약학생은 PAYCO로 2,000원 결제
붙임 1. 홍보 포스터 1부.
2. 사전 예약 방법 가이드( PAYCO 이용방법) 1부. 끝.",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=527211&article.offset=100&articleLimit=10,
2025-1학기 스마트폰 과의존 예방교육 이수 안내,2025.05.22,"2025-1학기 스마트폰 과의존 예방교육 이수 안내 합니다.
가
.
대 상
:
재학생
(
학부
,
대학원
)
나
.
방 법
1)
개인 수강
-
이루리
> KNU-MOOC>
「
2025
학년도 성인 인터넷
·
스마트폰 과의존 예방교육
」
시청
이수완료 학생에게
‘
예방교육
’
항목
비교과 마일리지
1
점
부여
(
센터에서 일괄 입력
)
2025-1학기 스마트폰 과의존 예방교육 이수 안내 합니다.
가
.
대 상
:
재학생
(
학부
,
대학원
)
가
.
대 상
:
재학생
(
학부
,
대학원
)
나
.
방 법
나
방 법
1)
개인 수강
1)
개인 수강
-
이루리
> KNU-MOOC>
「
2025
학년도 성인 인터넷
·
스마트폰 과의존 예방교육
」
시청
-
이루리
> KNU-MOOC>
「
2025
학년도 성인 인터넷
·
스마트폰 과의존 예방교육
」
시청
이수완료 학생에게
‘
예방교육
’
항목
비교과 마일리지
1
점
부여
이수완료 학생에게
‘
예방교육
’
항목
비교과 마일리지
1
점
부여
(
센터에서 일괄 입력
)
센터에서 일괄 입력",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=526963&article.offset=100&articleLimit=10,
2025년도 하반기 중남미 지역기구 파견 인턴 선발 안내,2025.05.22,"기구명 | 파견지 | 파견 기간 | 인원
ALADI(라틴아메리카통합기구) | 우루과이 | 2025.9~2026.2 | 1
OEI(이베로아메리카 교육과학문화기구) | 온두라스 | 2025.8~2026.1 | 1
ECLAC(유엔 중남미·카리브경제위원회) | 칠레 | 2025.9~2026.2 | 2
ACS(카리브국가연합) | 트리니다드토바고 | 2025.9~2026.2 | 1
IOM(국제이주기구) | 페루 | 2025.8~2026.2 | 1
UNESCO(유엔 교육과학문화기구) | 페루 | 2025.9~2026.2 | 1
SEGIB(이베로아메리카사무국) | 스페인 | 2025.9~2026.2 | 1
SICA(중미통합체제) | 엘살바도르 | 2025.9~2026.2 | 1
WFP(세계식량계획) | 베네수엘라 | 2025.9~2026.2 | 1
UNICEF(유엔아동기금) | 베네수엘라 | 2025.8~2026.2 | 2
CAF(중남미개발은행) | 콜롬비아 | 2025.9~2026.3 | 1
파라과이 | 2025.9~2026.3 | 1
GGGI(글로벌녹색성장기구) | 멕시코 | 2025.9~2026.2 | 1
OPANAL(중남미 핵무기 금지기구) | 멕시코 | 2025.9~2025.11 | 1
ACTO(아마존협력조약기구) | 브라질 | 2025.9~2026.2 | 1~2
외교부에서는 중남미 관련 국제 무대에서 활동할 수 있는 기회를 제공하고
,
전문
인력 양성을 지원하기 위해 인턴 프로그램을 운영하고 있는 바
,
2025
년도 하반기 중남미 지역기구로 파견할 인턴을 붙임과 같이 선발하니 역량있는 학생들이 지원할 수 있도록 안내하여 주시기 바랍니다
.
가
.
기구별 선발기간 및 인원
나
.
지원내역
:
왕복 항공료
(
정액
),
현지 정착비
,
월 체재비
다
.
자격요건
ㅇ
지원대상
:
대학생
(3~4
학년
)
또는 대학원생
(
각 기구별 상이
)
ㅇ
언어능력
:
영어 또는 스페인어로 업무처리가 가능한 자
라
.
선발일정
ㅇ
2025. 6. 8.(
일
) 18:00
서류접수 마감
(
이메일 접수
,
latinca@mofa.go.kr
)
ㅇ
2025. 6. 10.(
화
)
서류전형 합격자 발표
(
개별 통보
)
ㅇ
2025. 6. 16.(
월
)
필기시험
및 면접시험
(
외교부 청사
,
상세내용 추후 공지
)
ㅇ
2025. 6. 20.(
금
)
외교부 추천 후보자 발표
(
개별통보
)
ㅇ
2025. 6. 23.(
월
)
기구측에서 우리측 후보자 추천
ㅇ
2025. 7
월 최종 합격자 발표
(
개별 통보
)
외교부에서는 중남미 관련 국제 무대에서 활동할 수 있는 기회를 제공하고
,
전문
인력 양성을 지원하기 위해 인턴 프로그램을 운영하고 있는 바
,
외교부에서는 중남미 관련 국제 무대에서 활동할 수 있는 기회를 제공하고
,
전문
인력 양성을 지원하기 위해 인턴 프로그램을 운영하고 있는 바
2025
년도 하반기 중남미 지역기구로 파견할 인턴을 붙임과 같이 선발하니 역량있는 학생들이 지원할 수 있도록 안내하여 주시기 바랍니다
.
2025
년도 하반기 중남미 지역기구로 파견할 인턴을 붙임과 같이 선발하니 역량있는 학생들이 지원할 수 있도록 안내하여 주시기 바랍니다
.
가
.
기구별 선발기간 및 인원
가
기구별 선발기간 및 인원
나
.
지원내역
:
왕복 항공료
(
정액
),
현지 정착비
,
월 체재비
나
지원내역
:
왕복 항공료
(
정액
),
현지 정착비
월 체재비
다
.
자격요건
다
자격요건
ㅇ
지원대상
:
대학생
(3~4
학년
)
또는 대학원생
(
각 기구별 상이
)
ㅇ
지원대상
대학생
(3~4
학년
)
또는 대학원생
각 기구별 상이
ㅇ
언어능력
:
영어 또는 스페인어로 업무처리가 가능한 자
언어능력
영어 또는 스페인어로 업무처리가 가능한 자
라
.
선발일정
라
선발일정
ㅇ
2025. 6. 8.(
일
) 18:00
서류접수 마감
(
이메일 접수
,
latinca@mofa.go.kr
)
2025. 6. 8.(
일
) 18:00
서류접수 마감
이메일 접수
latinca@mofa.go.kr
ㅇ
2025. 6. 10.(
화
)
서류전형 합격자 발표
(
개별 통보
)
2025. 6. 10.(
화
서류전형 합격자 발표
개별 통보
ㅇ
2025. 6. 16.(
월
)
필기시험
및 면접시험
(
외교부 청사
,
상세내용 추후 공지
)
2025. 6. 16.(
월
필기시험
및 면접시험
외교부 청사
상세내용 추후 공지
ㅇ
2025. 6. 20.(
금
)
외교부 추천 후보자 발표
(
개별통보
)
2025. 6. 20.(
금
외교부 추천 후보자 발표
개별통보
ㅇ
2025. 6. 23.(
월
)
기구측에서 우리측 후보자 추천
2025. 6. 23.(
기구측에서 우리측 후보자 추천
ㅇ
2025. 7
월 최종 합격자 발표
(
개별 통보
)
2025. 7
월 최종 합격자 발표",https://biz.kangwon.ac.kr/biz/community/notice.do?mode=view&articleNo=526962&article.offset=100&articleLimit=10,
